municipi,districte,seccio,mundissec11,codsecINE 10
80193,2,153,08019302153,0801902153
80193,2,154,08019302154,0801902154
80193,2,155,08019302155,0801902155
80193,2,156,08019302156,0801902156
80193,2,157,08019302157,0801902157
80193,2,158,08019302158,0801902158
80193,2,159,08019302159,0801902159
80193,2,160,08019302160,0801902160
80193,2,161,08019302161,0801902161
80193,2,162,08019302162,0801902162
80193,2,163,08019302163,0801902163
80193,2,164,08019302164,0801902164
80193,2,165,08019302165,0801902165
80193,2,166,08019302166,0801902166
80193,2,167,08019302167,0801902167
80193,2,168,08019302168,0801902168
80193,2,169,08019302169,0801902169
80193,2,170,08019302170,0801902170
80193,2,171,08019302171,0801902171
80193,2,172,08019302172,0801902172
80193,2,173,08019302173,0801902173
80193,3,1,08019303001,0801903001
80193,3,2,08019303002,0801903002
80193,3,3,08019303003,0801903003
80193,3,4,08019303004,0801903004
80193,3,5,08019303005,0801903005
80193,3,6,08019303006,0801903006
80193,3,7,08019303007,0801903007
80193,3,8,08019303008,0801903008
80193,3,9,08019303009,0801903009
80193,3,10,08019303010,0801903010
80193,3,11,08019303011,0801903011
80193,3,12,08019303012,0801903012
80193,3,13,08019303013,0801903013
80193,3,14,08019303014,0801903014
80193,3,15,08019303015,0801903015
80193,3,16,08019303016,0801903016
80193,3,17,08019303017,0801903017
80193,3,18,08019303018,0801903018
80193,3,19,08019303019,0801903019
80193,3,20,08019303020,0801903020
80193,3,21,08019303021,0801903021
80193,3,22,08019303022,0801903022
80193,3,23,08019303023,0801903023
80193,3,24,08019303024,0801903024
80193,3,25,08019303025,0801903025
80193,3,26,08019303026,0801903026
80193,3,27,08019303027,0801903027
80193,3,28,08019303028,0801903028
80193,3,29,08019303029,0801903029
80193,3,30,08019303030,0801903030
80193,3,31,08019303031,0801903031
80193,3,32,08019303032,0801903032
80193,3,33,08019303033,0801903033
80193,3,34,08019303034,0801903034
80193,3,35,08019303035,0801903035
80193,3,36,08019303036,0801903036
80193,3,37,08019303037,0801903037
80193,3,38,08019303038,0801903038
80193,3,39,08019303039,0801903039
80193,3,40,08019303040,0801903040
80193,3,41,08019303041,0801903041
